algorithm,dataset,original_size,compressed_size,encode_time,decode_time,peak_memory,dictionary_size,original_bases,lossless,compression_ratio_%,bits_per_base,encode_throughput_bases_per_sec,decode_throughput_bases_per_sec
gzip_lvl9,small_test.fasta,2484,381,5.84959052503109e-05,2.2959895431995392e-05,0.29177379608154297,0.0,2484,True,15.3382,1.2271,42464510.7956,108188646.0397
zlib_lvl9,small_test.fasta,2484,369,2.9664020985364914e-05,5.791895091533661e-06,0.29177379608154297,0.0,2484,True,14.8551,1.1884,83737804.8386,428875171.3806
bz2_lvl9,small_test.fasta,2484,388,0.0001674252562224865,3.511970862746239e-05,7.206409454345703,0.0,2484,True,15.62,1.2496,14836471.2472,70729516.1913
lzma_default,small_test.fasta,2484,456,0.004803671035915613,3.232015296816826e-05,93.11400604248047,0.0,2484,True,18.3575,1.4686,517104.5189,76856071.8895
VCSDplus,phiX174.fasta,5386,1812,0.21740135364234447,0.21749538695439696,26.072921752929688,1574.1318359375,5386,True,33.6428,2.6914,24774.4548,24763.7436
VCSDplus_entropy,phiX174.fasta,5386,1398,0.21713101724162698,0.21719856886193156,26.07601547241211,1574.1318359375,5386,True,25.9562,2.0765,24805.2999,24797.5851
DNACompress,phiX174.fasta,5386,7780,0.014422550797462463,0.0004771859385073185,2.282754898071289,42.0234375,5386,True,144.4486,11.5559,373442.9558,11287004.8452
LZ78_style,phiX174.fasta,5386,3951,0.0017487597651779652,0.0009695729240775108,0.7630157470703125,5.2568359375,5386,True,73.3569,5.8685,3079897.026,5555023.1099
LZSS,phiX174.fasta,5386,4292,0.1278304192237556,0.0004676021635532379,0.20067501068115234,1.0,5386,True,79.6881,6.375,42133.9462,11518338.4933
2bit_pack,phiX174.fasta,5386,1351,0.00028355279937386513,0.00030481768772006035,0.05285167694091797,0.0,5386,True,25.0835,2.0067,18994698.7365,17669578.2987
gzip_lvl9,phiX174.fasta,5386,1710,0.00034848228096961975,3.179209306836128e-05,0.29730892181396484,0.0,5386,True,31.749,2.5399,15455592.1323,169413193.0357
zlib_lvl9,phiX174.fasta,5386,1698,0.0003153928555548191,1.3729091733694077e-05,0.29730892181396484,0.0,5386,True,31.5262,2.5221,17077114.7955,392305631.3173
bz2_lvl9,phiX174.fasta,5386,1540,0.0003453618846833706,9.518396109342575e-05,7.213043212890625,0.0,5386,True,28.5926,2.2874,15595235.719,56585163.489
lzma_default,phiX174.fasta,5386,1752,0.005337961949408054,7.164804264903069e-05,93.12077713012695,0.0,5386,True,32.5288,2.6023,1008999.3243,75173023.5867
VCSDplus,lambda_phage.fasta,48502,16185,18.146063110791147,17.852119638118893,2007.5064973831177,127630.8876953125,48502,True,33.3698,2.6696,2672.8663,2716.8763
VCSDplus_entropy,lambda_phage.fasta,48502,12294,17.83893910003826,17.60676964512095,2007.5307836532593,127630.8876953125,48502,True,25.3474,2.0278,2718.8837,2754.7359
DNACompress,lambda_phage.fasta,48502,47345,0.048977543134242296,0.004427318926900625,14.19629955291748,378.8671875,48502,True,97.6145,7.8092,990290.5882,10955162.8877
LZ78_style,lambda_phage.fasta,48502,30165,0.015216408763080835,0.008850173093378544,5.569648742675781,47.361328125,48502,True,62.1933,4.9755,3187480.0917,5480344.7897
LZSS,lambda_phage.fasta,48502,37363,1.2491248142905533,0.0041880239732563496,1.728128433227539,1.0,48502,True,77.0339,6.1627,38828.7859,11581118.0427
2bit_pack,lambda_phage.fasta,48502,12130,0.002451667096465826,0.0026701781898736954,0.4462251663208008,0.0,48502,True,25.0093,2.0007,19783273.2143,18164330.824
gzip_lvl9,lambda_phage.fasta,48502,14383,0.016262201126664877,0.000108400359749794,0.3795461654663086,0.0,48502,True,29.6544,2.3724,2982499.0862,447433939.444
zlib_lvl9,lambda_phage.fasta,48502,14371,0.016100329346954823,9.611155837774277e-05,0.3795461654663086,0.0,48502,True,29.6297,2.3704,3012484.9595,504642738.2789
bz2_lvl9,lambda_phage.fasta,48502,13249,0.0023499871604144573,0.0007994677871465683,7.3064470291137695,0.0,48502,True,27.3164,2.1853,20639261.7019,60667860.2688
lzma_default,lambda_phage.fasta,48502,13468,0.007612759247422218,0.0004284298047423363,93.21418762207031,0.0,48502,True,27.7679,2.2214,6371145.9175,113208743.7968
