dataset,config,compressed_bytes,compression_ratio_pct,bits_per_base,encode_time_s,decode_time_s,lossless,error,sequence_ordering,use_approximate,use_reverse_complement,use_token_entropy
large_test.fasta,use_token_entropy,5009,24.960135539166835,1.9968108431333467,0.057373051065951586,0.05559266684576869,True,,False,False,False,True
large_test.fasta,use_reverse_complement,14355,71.53179190751445,5.722543352601156,2.332642569206655,0.03066720301285386,True,,False,False,True,False
large_test.fasta,use_reverse_complement+use_token_entropy,14355,71.53179190751445,5.722543352601156,2.3295790408737957,0.03013652889057994,True,,False,False,True,True
large_test.fasta,use_approximate,17344,86.42615108630656,6.914092086904525,1.03118209913373,0.017453957814723253,True,,False,True,False,False
large_test.fasta,use_approximate+use_token_entropy,17344,86.42615108630656,6.914092086904525,1.0328207802958786,0.01777612790465355,True,,False,True,False,True
large_test.fasta,use_approximate+use_reverse_complement,17344,86.42615108630656,6.914092086904525,2.787565531209111,0.017504389863461256,True,,False,True,True,False
large_test.fasta,use_approximate+use_reverse_complement+use_token_entropy,17344,86.42615108630656,6.914092086904525,2.789384576957673,0.017431050073355436,True,,False,True,True,True
large_test.fasta,sequence_ordering,7863,39.181781941399244,3.1345425553119393,0.07262827502563596,0.07119927695021033,True,,True,False,False,False
large_test.fasta,sequence_ordering+use_token_entropy,4856,24.19772772573251,1.9358182180586008,0.07304167561233044,0.07072250405326486,True,,True,False,False,True
large_test.fasta,sequence_ordering+use_reverse_complement,15310,76.29061191947379,6.1032489535579035,2.667001119814813,0.04239753820002079,True,,True,False,True,False
large_test.fasta,sequence_ordering+use_reverse_complement+use_token_entropy,15310,76.29061191947379,6.1032489535579035,2.664398344233632,0.04307145019993186,True,,True,False,True,True
large_test.fasta,sequence_ordering+use_approximate,20586,102.5812238389476,8.206497907115807,0.8511455343104899,0.021570900920778513,True,,True,True,False,False
large_test.fasta,sequence_ordering+use_approximate+use_token_entropy,20586,102.5812238389476,8.206497907115807,0.8600545539520681,0.02133202599361539,True,,True,True,False,True
large_test.fasta,sequence_ordering+use_approximate+use_reverse_complement,20586,102.5812238389476,8.206497907115807,2.8845390863716602,0.0213547321036458,True,,True,True,True,False
large_test.fasta,sequence_ordering+use_approximate+use_reverse_complement+use_token_entropy,20586,102.5812238389476,8.206497907115807,2.886433753184974,0.02132959896698594,True,,True,True,True,True
medium_test.fasta,compact_baseline,3206,40.92417666581568,3.273934133265254,0.015394598245620728,0.014369126874953508,True,,False,False,False,False
medium_test.fasta,use_token_entropy,2004,25.580801633903498,2.04646413071228,0.015192089136689901,0.014522820711135864,True,,False,False,False,True
medium_test.fasta,use_reverse_complement,6516,83.17589992341078,6.654071993872862,0.30798386596143246,0.006741275079548359,True,,False,False,True,False
medium_test.fasta,use_reverse_complement+use_token_entropy,6516,83.17589992341078,6.654071993872862,0.3085362883284688,0.006611548829823732,True,,False,False,True,True
medium_test.fasta,use_approximate,6144,78.42736788358438,6.27418943068675,0.22411651816219091,0.005288996733725071,True,,False,True,False,False
medium_test.fasta,use_approximate+use_token_entropy,6144,78.42736788358438,6.27418943068675,0.22361114295199513,0.005253924988210201,True,,False,True,False,True
medium_test.fasta,use_approximate+use_reverse_complement,6144,78.42736788358438,6.27418943068675,0.4629233260639012,0.00540520204231143,True,,False,True,True,False
medium_test.fasta,use_approximate+use_reverse_complement+use_token_entropy,6144,78.42736788358438,6.27418943068675,0.4621320809237659,0.005313235800713301,True,,False,True,True,True
medium_test.fasta,sequence_ordering,3019,38.53714577482768,3.082971661986214,0.02030257787555456,0.019501566886901855,True,,True,False,False,False
medium_test.fasta,sequence_ordering+use_token_entropy,1894,24.17666581567526,1.9341332652540209,0.020282818004488945,0.019213188905268908,True,,True,False,False,True
medium_test.fasta,sequence_ordering+use_reverse_complement,4682,59.76512637222364,4.781210109777891,0.18850780418142676,0.011030049063265324,True,,True,False,True,False
medium_test.fasta,sequence_ordering+use_reverse_complement+use_token_entropy,4682,59.76512637222364,4.781210109777891,0.18947229906916618,0.010997026693075895,True,,True,False,True,True
medium_test.fasta,sequence_ordering+use_approximate,6969,88.95838652029614,7.116670921623691,0.1352255390956998,0.007859031669795513,True,,True,True,False,False
medium_test.fasta,sequence_ordering+use_approximate+use_token_entropy,6969,88.95838652029614,7.116670921623691,0.13527384214103222,0.00780378608033061,True,,True,True,False,True
medium_test.fasta,sequence_ordering+use_approximate+use_reverse_complement,6969,88.95838652029614,7.116670921623691,0.36060281191021204,0.00785044115036726,True,,True,True,True,False
medium_test.fasta,sequence_ordering+use_approximate+use_reverse_complement+use_token_entropy,6969,88.95838652029614,7.116670921623691,0.3624358708038926,0.00783831300213933,True,,True,True,True,True
phiX174.fasta,compact_baseline,1812,33.642777571481616,2.6914222057185295,0.21412245696410537,0.21760116796940565,True,,False,False,False,False
phiX174.fasta,use_token_entropy,1398,25.956182695878205,2.0764946156702564,0.21442034700885415,0.21739261504262686,True,,False,False,False,True
phiX174.fasta,use_reverse_complement,1814,33.67991088005942,2.6943928704047533,0.215299179777503,0.21762203611433506,True,,False,False,True,False
phiX174.fasta,use_reverse_complement+use_token_entropy,1814,33.67991088005942,2.6943928704047533,0.21397476131096482,0.21864559408277273,True,,False,False,True,True
phiX174.fasta,use_approximate,1814,33.67991088005942,2.6943928704047533,0.21663671638816595,0.21971016703173518,True,,False,True,False,False
phiX174.fasta,use_approximate+use_token_entropy,1814,33.67991088005942,2.6943928704047533,0.21447046799585223,0.217129226308316,True,,False,True,False,True
phiX174.fasta,use_approximate+use_reverse_complement,1814,33.67991088005942,2.6943928704047533,0.2143768100067973,0.2183982292190194,True,,False,True,True,False
phiX174.fasta,use_approximate+use_reverse_complement+use_token_entropy,1814,33.67991088005942,2.6943928704047533,0.21411633491516113,0.21710312087088823,True,,False,True,True,True
phiX174.fasta,sequence_ordering,1812,33.642777571481616,2.6914222057185295,0.21406047092750669,0.21781714167445898,True,,True,False,False,False
phiX174.fasta,sequence_ordering+use_token_entropy,1398,25.956182695878205,2.0764946156702564,0.21385917766019702,0.2208896828815341,True,,True,False,False,True
phiX174.fasta,sequence_ordering+use_reverse_complement,1814,33.67991088005942,2.6943928704047533,0.21401031874120235,0.21505119698122144,True,,True,False,True,False
phiX174.fasta,sequence_ordering+use_reverse_complement+use_token_entropy,1814,33.67991088005942,2.6943928704047533,0.21414487715810537,0.21453821286559105,True,,True,False,True,True
phiX174.fasta,sequence_ordering+use_approximate,1814,33.67991088005942,2.6943928704047533,0.2135606510564685,0.21392877493053675,True,,True,True,False,False
phiX174.fasta,sequence_ordering+use_approximate+use_token_entropy,1814,33.67991088005942,2.6943928704047533,0.21389194298535585,0.21458578808233142,True,,True,True,False,True
